dataset_id,n,distribution,entropy,model_entropy,scipy_entropy,model_entropy_boot,scipy_entropy_boot,model_bias2,scipy_bias2,model_var,scipy_var
0,12,pareto,2.138016939163208,0.7083969116210938,0.91025573,0.6414187252521515,0.7054985,2.2398062138817645,2.0521092,0.05795408821803954,0.07759412
1,66,uniform,1.7542728185653687,1.587276577949524,1.6640865,1.5575813094774882,1.6183143,0.03868754974726776,0.018484728,0.0014011650306395829,0.0016959369
2,59,rayleigh,0.9821860194206238,1.2753573656082153,1.3941619,1.2192816456158957,1.2864262,0.05621433596092811,0.09256208,0.020564558201755224,0.020943228
3,118,exponential,1.526772141456604,1.4730216264724731,1.4690815,1.4530122717221579,1.44067,0.005440518383242465,0.0074135764,0.005720241292554802,0.0042719087
4,11,lognormal,1.8990095853805542,1.1852604150772095,1.2614819,1.0266247709592184,-inf,0.7610552644329485,inf,0.058583515329462384,
5,228,normal,1.9872100353240967,2.0357320308685303,1.9894199,2.0322632710138957,1.95254,0.00202979404612058,0.0012020086,0.004397041896282808,0.0025267485
6,157,rayleigh,0.9777563810348511,0.9280751347541809,1.1867932,0.9259274939695994,1.1567346,0.002686233534422613,0.032033198,0.0022310344088141876,0.0020690868
7,21,cauchy,3.1273491382598877,2.74550461769104,3.1283932,2.540084171295166,2.7140813,0.34488014142407586,0.17079031,0.20912640909750976,0.25985512
8,285,exponential,0.12103100121021271,-0.01874702423810959,0.07566028,-0.013958423087994257,0.05283857,0.018222144672361346,0.0046502077,0.0029080547569641105,0.0028990416
9,93,gamma,2.3727025985717773,2.4933717250823975,2.3674388,2.5060093959172565,2.3504407,0.01777070221850864,0.0004955903,0.006393459764428384,0.0031574904
10,47,rayleigh,1.5899986028671265,1.8361703157424927,1.8814666,1.7785266796747843,1.8044696,0.035542835744794124,0.045997802,0.02614149402675303,0.009158198
11,15,uniform,1.609872579574585,1.529018759727478,1.58936,1.415855234861374,1.4332824,0.037642730049564935,0.0311841,0.039717934256178075,0.020004826
12,125,chi_square,2.720139503479004,2.828131675720215,2.7650998,2.8343906799952188,2.7059164,0.013053331335339285,0.00020229653,0.00499699164091333,0.004334598
13,33,pareto,0.6682602167129517,0.23946666717529297,0.40543228,0.20743720109264055,0.30759907,0.21235785172539753,0.13007647,0.020933805255654022,0.016827462
14,246,rayleigh,1.7085658311843872,1.9272509813308716,1.9576727,1.9176411151885986,1.9238586,0.04371247438144165,0.046350993,0.0034026192306617986,0.0013795199
15,80,normal,2.4803335666656494,2.6060235500335693,2.3977969,2.5745148420333863,2.330925,0.008870112629893486,0.022322923,0.005546500937518697,0.004506999
16,12,uniform,1.0957132577896118,1.1055991649627686,1.1113034,1.0628712713718413,-inf,0.0010785960718650203,inf,0.004087804973561132,
17,10,logistic,1.9686803817749023,1.3947783708572388,1.3753991,1.1924644390741983,-inf,0.6025111897027426,inf,0.1141783605356723,
18,113,exponential,1.5265921354293823,1.388272762298584,1.3725473,1.3608551700909932,1.3161119,0.02746874167957839,0.04430192,0.014188223817405483,0.011434158
19,32,uniform,1.4015506505966187,1.1920465230941772,1.254704,1.1772480368614198,1.1626318,0.05031166252844183,0.05708224,0.0017641213742745755,0.007169422
20,22,gamma,1.754051685333252,1.6931273937225342,1.6678096,1.6169833103815714,1.561784,0.018787739411894492,0.036966853,0.08868653082378039,0.0313618
21,10,uniform,-0.23850813508033752,-0.23869377374649048,-0.07605529,-0.33950670063495636,-0.36176312,0.010200710244090638,0.015191792,0.02514197314008748,0.033543203
22,13,inverse_gamma,0.16007520258426666,-0.2616703510284424,-0.1489672,-0.3271752471725146,-0.31832626,0.23741300078818564,0.22886798,0.056475027790669124,0.085433945
