dataset_id,n,distribution,entropy,model_entropy,scipy_entropy,model_entropy_boot,scipy_entropy_boot,model_bias2,scipy_bias2,model_var,scipy_var
0,12,beta,-0.6577152013778687,-0.2281421422958374,-0.5258054,-0.32754764904578526,-inf,0.10901061261295902,inf,0.023194751146066457,
1,57,weibull,2.6371140480041504,1.571444034576416,1.5521045,1.5366927862167359,1.5025935,1.2109269533938054,1.2871368,0.026952332509700336,0.013824325
2,70,beta,-0.26447442173957825,-0.6689214706420898,-0.4080211,-0.7346167256434758,-0.4954756,0.22103378592006476,0.05336154,0.01358244004469761,0.011628011
3,26,weibull,1.3794152736663818,0.4751383662223816,0.41545567,0.4323464177548885,0.3023877,0.8969394178375047,1.1599884,0.01094127317569335,0.015014607
4,68,beta,-0.12720249593257904,-0.39219310879707336,-0.20687257,-0.4194645474354426,-0.28151506,0.08541710674866247,0.023812369,0.004106999073735461,0.003453933
5,126,student_t,0.9069805145263672,1.3869391679763794,1.402751,1.3952481945355732,1.3856779,0.23840532734157244,0.22915122,0.007537009893472261,0.003373351
6,15,student_t,0.9953287839889526,1.60415518283844,1.5904208,1.3813356439272562,1.3389786,0.14900129591942907,0.11809523,0.05311811421116648,0.06627433
7,231,weibull,2.524871587753296,0.9928339123725891,0.9036515,1.0022024591763814,0.8952202,2.31852127512118,2.6557634,0.007503335355439288,0.007690555
8,10,beta,-0.1329796314239502,-0.3481065034866333,-0.23446321,-0.37243769963582357,-inf,0.0573401664317622,inf,0.047889925914777635,
9,107,student_t,0.9957531094551086,1.6231940984725952,1.5616987,1.6008532166481018,1.5318015,0.3661461397249718,0.28734782,0.009312716544122043,0.004569276
10,189,weibull,0.8579807281494141,-0.28175967931747437,-0.10479924,-0.3020707820852598,-0.15002164,1.3457195063977474,1.0160688,0.00627580409867029,0.0023136288
11,276,weibull,1.2291451692581177,0.20972412824630737,0.2969224,0.1932072641948859,0.26043323,1.0731673431467974,0.9384029,0.0016053804426666356,0.0022205038
12,18,beta,-0.245004341006279,-0.45069122314453125,-0.58632123,-0.541266331076622,-0.7852271,0.08777116676044004,0.29184064,0.009604553738004291,0.028586226
13,74,weibull,1.6905122995376587,0.5226727724075317,0.7833292,0.5329904198646546,0.7579759,1.3398569019217248,0.8696242,0.0043399962689237275,0.0050665843
14,138,weibull,1.0036746263504028,-0.031282417476177216,0.04174202,-0.052466587722301485,0.0059977453,1.1154342640629658,0.99535924,0.01204792973397483,0.0022679702
15,12,beta,-0.23528850078582764,-0.54237300157547,-0.68187076,-0.6625356882810592,-inf,0.1825401592225856,inf,0.032886830462243034,
16,12,weibull,2.6016995906829834,1.3184059858322144,1.4688255,1.0801020046075185,-inf,2.315259213950682,inf,0.20501451910654098,
17,13,weibull,0.6293672323226929,-0.7178664803504944,-0.668002,-0.7135412027438481,-0.9281462,1.8034030649728663,2.4258482,0.012558085097569794,0.11486125
18,14,weibull,1.5515296459197998,0.45760446786880493,0.530904,0.27188035448392234,0.31454018,1.6375023090723433,1.530143,0.13510891409744674,0.11151741
19,15,student_t,1.035091757774353,1.4236595630645752,1.3574872,1.279059996207555,-inf,0.059520501364199715,inf,0.09875831469083449,
20,11,student_t,0.9141861200332642,1.1093438863754272,1.1677611,1.017475179831187,-inf,0.010668629873938872,inf,0.07584886515263153,
21,46,beta,-0.37025636434555054,-0.5747719407081604,-0.36646178,-0.581465878089269,-0.43492052,0.04460945869585799,0.004181453,0.0063964113254508315,0.005372786
22,12,beta,-0.42977669835090637,-0.6140019297599792,-0.84498644,-0.6695066203673681,-inf,0.05747043551001881,inf,0.012579291308089113,
23,109,beta,-0.4563746750354767,-0.6363876461982727,-0.5191657,-0.6392113268375397,-0.56128556,0.03342924124218882,0.011006293,0.0017865986249886963,0.003056758
24,33,student_t,0.9411934018135071,1.598044514656067,1.6254141,1.5200251936912537,1.5002452,0.33504624328840293,0.31253892,0.01720196436877733,0.021597562
25,47,student_t,0.9025285243988037,1.4173482656478882,1.4483737,1.3547416051228842,1.3510147,0.20449667037796376,0.20113988,0.013674086148893075,0.014813574
26,47,student_t,0.920201301574707,1.6109123229980469,1.6564722,1.5753216981887816,1.5784587,0.4291827340597824,0.43330276,0.02052212104367413,0.015379765
27,283,student_t,0.9174011945724487,1.6895740032196045,1.5939419,1.6640569925308228,1.5537847,0.5574948806248564,0.404984,0.005438659708007663,0.0025541855
28,137,student_t,1.009263277053833,1.9111944437026978,1.738805,1.8246161739031475,1.6588863,0.6648003464005688,0.4220101,0.02218465354958812,0.01382467
29,100,weibull,1.6041927337646484,0.6291059851646423,0.5864272,0.5999086737632752,0.53933644,1.0085864731728422,1.1339189,0.0035550216443130957,0.0030405724
30,20,student_t,1.0540329217910767,1.3290783166885376,1.310069,1.296385129292806,1.1783224,0.05873459248096123,0.015447883,0.004717049067527846,0.021835973
31,235,student_t,0.9360706210136414,1.4195119142532349,1.4144375,1.4002179503440857,1.3870635,0.21543274332458395,0.20339458,0.0030217267386516275,0.0019360477
32,43,student_t,0.9002208113670349,1.3336389064788818,1.4202424,1.3006777922312418,1.3491473,0.16036579352287578,0.20153502,0.006388094618171875,0.007282546
33,15,student_t,1.1783664226531982,1.2881864309310913,1.2442085,1.117223678032557,1.0286285,0.0037384352197449454,0.022421455,0.07229023872698488,0.05158771
34,15,beta,-0.31381914019584656,-0.7670119404792786,-0.6877119,-0.8045201857884725,-inf,0.24078751614569638,inf,0.03604652666211832,
35,83,weibull,2.314131021499634,1.2257457971572876,1.3635365,1.189876627922058,1.2848705,1.2639479414784824,1.0593772,0.018264115937038004,0.007733009
36,51,student_t,0.9969988465309143,1.679213047027588,1.6562634,1.5161253293355306,1.471645,0.26949230514909156,0.22528897,0.05051547984780688,0.024729967
37,43,student_t,0.9211212396621704,1.4569432735443115,1.5007124,1.4198118805885316,1.4320642,0.24869235534754489,0.26106268,0.007172388234158832,0.0071172235
38,18,weibull,1.638403058052063,0.45019274950027466,0.6366329,0.464843221505483,0.5522146,1.3772426899552357,1.1798053,0.026714783458192372,0.020864705
39,20,weibull,1.428287386894226,0.45095789432525635,0.193153,0.32106576710939405,0.10656801,1.2259397153189469,1.7469422,0.026453292358041128,0.010452783
40,11,beta,-0.8272022008895874,-0.6908846497535706,-1.0904834,-0.7091821551322937,-1.2868847,0.013928731200553709,0.21130797,0.0038463804811613993,0.087777466
41,13,student_t,1.0253220796585083,1.5837451219558716,1.5717038,1.4464977979660034,1.3290178,0.17738898569183448,0.092231065,0.06251472787277593,0.105165005
42,16,student_t,0.8996984958648682,1.390661358833313,1.4939268,1.309770675500234,1.306099,0.1681591925108998,0.16516142,0.03170315268332206,0.048278615
43,15,beta,-0.26517951488494873,-0.48921218514442444,-0.44827792,-0.5179104536771775,-0.60148495,0.06387292742280128,0.11310135,0.0187341515779401,0.047335807
